title,article_id,source_url,country,source_id,keywords,sentiment_stats,source_icon,image_url,sentiment,ai_tag,link,creator,source_priority,content,description,duplicate,ai_org,pubDate,ai_region,video_url,language,category
Upper Darby police probe gunfire on Long Lane,13b12dbfdfa35765e8bd8bc9d16b9069,https://www.delcotimes.com,['united states of america'],delcotimes,"['news', 'latest headlines', 'crime and public safety']",ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://i.bytvi.com/domain_icons/delcotimes.png,https://www.delcotimes.com/wp-content/uploads/2024/03/ShootingWebstock2022.jpg?strip=all&w=1400px,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://www.delcotimes.com/2024/07/24/upper-darby-police-probe-gunfire-on-long-lane/,['Daily Times'],24493,ONLY AVAILABLE IN PAID PLANS,Five shots fired; unclear if anyone hit.,False,ONLY AVAILABLE IN CORPORATE PLANS,2024-07-24 17:11:54,ONLY AVAILABLE IN CORPORATE PLANS,,english,['crime']
Judge rules in Castle Rock church’s favor in fight with town over shelter for homeless families in parking lot,e6ff3b5081cd5c91621e0bb904fcd298,https://www.dailycamera.com,['united states of america'],dailycamera,"['housing', 'latest headlines', 'homelessness', 'crime and public safety', 'health', 'politics', 'news']",ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://i.bytvi.com/domain_icons/dailycamera.jpg,https://www.dailycamera.com/wp-content/uploads/2024/07/505.0.64203216-Westview_06-1.jpg?strip=all&w=1400px,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://www.dailycamera.com/2024/07/24/castle-rock-church-homeless-town-zoning-judge-injunction/,,9249,ONLY AVAILABLE IN PAID PLANS,"Castle Rock's attempts to stop the Rock Church from housing homeless families in vehicles in its parking lot is a violation of the church's practice of religious freedom, a federal court has ruled.",True,ONLY AVAILABLE IN CORPORATE PLANS,2024-07-24 16:51:28,ONLY AVAILABLE IN CORPORATE PLANS,,english,['crime']
Judge rules in Castle Rock church’s favor in fight with town over shelter for homeless families in parking lot,79e2bcf18f2e8b655aa6518781b07073,https://www.timescall.com,['united states of america'],timescall,"['latest headlines', 'news', 'crime and public safety', 'health', 'politics']",ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://i.bytvi.com/domain_icons/timescall.png,https://www.timescall.com/wp-content/uploads/2024/07/505.0.64203216-Westview_06-1.jpg?strip=all&w=1400px,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://www.timescall.com/2024/07/24/castle-rock-church-homeless-town-zoning-judge-injunction/,['John Aguilar'],53000,ONLY AVAILABLE IN PAID PLANS,"Castle Rock's attempts to stop the Rock Church from housing homeless families in vehicles in its parking lot is a violation of the church's practice of religious freedom, a federal court has ruled.",True,ONLY AVAILABLE IN CORPORATE PLANS,2024-07-24 16:51:28,ONLY AVAILABLE IN CORPORATE PLANS,,english,['crime']
Judge rules in Castle Rock church’s favor in fight with town over shelter for homeless families in parking lot,1a669fe2889e2706c7d46249b5fed9f3,https://www.greeleytribune.com,['united states of america'],greeleytribune,"['crime and public safety', 'latest headlines', 'health', 'news', 'politics']",ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://i.bytvi.com/domain_icons/greeleytribune.png,https://www.greeleytribune.com/wp-content/uploads/2024/07/505.0.64203216-Westview_06-1.jpg?strip=all&w=1400px,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://www.greeleytribune.com/2024/07/24/castle-rock-church-homeless-town-zoning-judge-injunction/,['John Aguilar'],38556,ONLY AVAILABLE IN PAID PLANS,"Castle Rock's attempts to stop the Rock Church from housing homeless families in vehicles in its parking lot is a violation of the church's practice of religious freedom, a federal court has ruled.",True,ONLY AVAILABLE IN CORPORATE PLANS,2024-07-24 16:51:28,ONLY AVAILABLE IN CORPORATE PLANS,,english,['crime']
"Pa. State Police trooper shot, wounded while serving warrant",7e85cf7960aeaea75fc678b934f1337e,https://www.delcotimes.com,['united states of america'],delcotimes,"['crime and public safety', 'news', 'pennsylvania news', 'latest headlines']",ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://i.bytvi.com/domain_icons/delcotimes.png,https://www.delcotimes.com/wp-content/uploads/2024/07/pa-state-police-2-webstock-police.jpg?strip=all&w=1400px,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://www.delcotimes.com/2024/07/24/pa-state-police-trooper-shot-wounded-while-serving-warrant/,['Associated Press'],24493,ONLY AVAILABLE IN PAID PLANS,"A Pennsylvania state trooper serving a warrant was shot in the arm by the suspect, state police said.",True,ONLY AVAILABLE IN CORPORATE PLANS,2024-07-24 16:50:13,ONLY AVAILABLE IN CORPORATE PLANS,,english,['crime']
Jannik Sinner—World’s No. 1 Tennis Player And Forbes 30 Under 30 Alum—Withdraws From Paris Olympics,68dcc98444b0a052e2c14d5abc246372,https://www.forbes.com,['united states of america'],forbes,"['topline', '/business', 'business', 'breaking', 'breaking-news']",ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://i.bytvi.com/domain_icons/forbes.png,https://imageio.forbes.com/specials-images/imageserve/66a12d08f92b6fcbcd615e0e/0x0.jpg?precrop=2512%2C1413%2Cx0%2Cy0&width=960,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://www.forbes.com/sites/tylerroush/2024/07/24/jannik-sinner-worlds-no-1-tennis-player-and-forbes-30-under-30-alum-withdraws-from-paris-olympics/,"['', 'Ty Roush, Forbes Staff']",154,ONLY AVAILABLE IN PAID PLANS,Sinner became the first Italian tennis player to win a Grand Slam title earlier this year.,False,ONLY AVAILABLE IN CORPORATE PLANS,2024-07-24 16:35:05,ONLY AVAILABLE IN CORPORATE PLANS,,english,"['top', 'business', 'politics', 'crime']"
Case against former Anson-Madison Water District superintendent continues with new indictment,59b0f46e6b6e7438d2de9565cfe02127,https://www.centralmaine.com,['united states of america'],centralmaine,['maine crime'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://i.bytvi.com/domain_icons/centralmaine.png,https://www.centralmaine.com/wp-content/uploads/sites/2/2024/07/37542333_20240627_SomersetCountyCourthouse_0y11-1721234890.jpg,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://www.centralmaine.com/2024/07/24/case-against-former-anson-madison-water-district-superintendent-continues-with-new-indictment/,,19904,ONLY AVAILABLE IN PAID PLANS,"Michael Corson, 55, of Madison, was indicted on one Class C count of aggravated criminal invasion of computer privacy, a charge that prosecutors filed after they dismissed several counts of theft before Corson’s trial in March.",False,ONLY AVAILABLE IN CORPORATE PLANS,2024-07-24 16:32:47,ONLY AVAILABLE IN CORPORATE PLANS,,english,['crime']
"Juvenile accused of Tyler-area bomb threats, 'swatting' hoaxes has been arrested",01dedbe65782f78c3a9a48dc24dc8fcc,https://tylerpaper.com,['united states of america'],tylerpaper,,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://i.bytvi.com/domain_icons/tylerpaper.png,https://bloximages.newyork1.vip.townnews.com/tylerpaper.com/content/tncms/assets/v3/editorial/a/0f/a0f9c784-eb58-11ec-9af1-4fab56b30b48/62a7a00333331.image.jpg?resize=300%2C211,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://tylerpaper.com/news/crime/juvenile-accused-of-tyler-area-bomb-threats-swatting-hoaxes-has-been-arrested/article_b08d1272-49d5-11ef-84a4-efd811d727e7.html,['Santana Wood'],13013,ONLY AVAILABLE IN PAID PLANS,"A juvenile suspect accused of multiple bomb threats, including at local Brookshire’s grocery stores, has been arrested, the Tyler Police Department announced Wednesday morning.",True,ONLY AVAILABLE IN CORPORATE PLANS,2024-07-24 15:59:00,ONLY AVAILABLE IN CORPORATE PLANS,,english,['crime']
JFK Airport Fire: At Least 9 Injured And Hundreds Evacuated—Here’s What To Know,f163f4c2d777f4e2ed412ad441e70eed,https://www.forbes.com,['united states of america'],forbes,"['/business', 'topline', 'business', 'breaking', 'breaking-news']",ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://i.bytvi.com/domain_icons/forbes.png,https://imageio.forbes.com/specials-images/imageserve/66a1210cc793287da972a82a/0x0.jpg?precrop=2763%2C1554%2Cx0%2Cy150&width=960,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://www.forbes.com/sites/tylerroush/2024/07/24/jfk-airport-fire-at-least-9-injured-and-hundreds-evacuated-heres-what-to-know/,"['', 'Ty Roush, Forbes Staff']",154,ONLY AVAILABLE IN PAID PLANS,"The cause of the fire is under investigation, officials said.",False,ONLY AVAILABLE IN CORPORATE PLANS,2024-07-24 15:44:34,ONLY AVAILABLE IN CORPORATE PLANS,,english,"['top', 'business', 'politics', 'crime']"
Normal police investigating shots fired Tuesday night,79a7a91399449f575b39fa577610171b,https://pantagraph.com,['united states of america'],pantagraph,,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://i.bytvi.com/domain_icons/pantagraph.png,https://bloximages.chicago2.vip.townnews.com/pantagraph.com/content/tncms/assets/v3/editorial/6/ac/6ac8b1d4-49ca-11ef-a3dd-f39ad29169f2/66a1181e33bb7.preview.jpg?crop=640%2C336%2C0%2C45&order=crop%2Cresize&resize=640%2C336,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://pantagraph.com/news/local/crime-courts/normal-police-investigates-shots-fired-northbrook-drive-tuesday/article_6ac8b1d4-49ca-11ef-a3dd-f39ad29169f2.html,['KAITLYN KLEPEC kklepec@pantagraph.com'],19184,ONLY AVAILABLE IN PAID PLANS,The Normal Police Department is investigating after a building was struck by gunfire Tuesday night on Northbrook Drive.,False,ONLY AVAILABLE IN CORPORATE PLANS,2024-07-24 15:15:00,ONLY AVAILABLE IN CORPORATE PLANS,,english,['crime']
Upper Darby police probe gunfire on Long Lane,13b12dbfdfa35765e8bd8bc9d16b9069,https://www.delcotimes.com,['united states of america'],delcotimes,"['news', 'latest headlines', 'crime and public safety']",ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://i.bytvi.com/domain_icons/delcotimes.png,https://www.delcotimes.com/wp-content/uploads/2024/03/ShootingWebstock2022.jpg?strip=all&w=1400px,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,https://www.delcotimes.com/2024/07/24/upper-darby-police-probe-gunfire-on-long-lane/,['Daily Times'],24493,ONLY AVAILABLE IN PAID PLANS,Five shots fired; unclear if anyone hit.,False,ONLY AVAILABLE IN CORPORATE PLANS,2024-07-24 17:11:54,ONLY AVAILABLE IN CORPORATE PLANS,,english,['crime']
