title,author,published_at,description
"Elderly men among 4 arrested with drugs worth RM178,500",Bernama,"July 14, 2024 @ 9:11pm","GEORGE TOWN: Police have smashed a drug trafficking syndicate with the arrest of four men, including three elderly individuals, and seizure of illegal substances worth RM178,500 in raids here. Penang police chief Datuk Hamzah Ahmad said the raids were conducted by a team from the state Narcotics Crime Investigation Department at several locations between 9.05am and 9.30pm on Friday. Police first arrested a 59-year-old man in the parking lot of a residential area here, believed involved in drug trafficking, and seized 115g of heroin valued at RM920, he said. ""Following interrogation of the man, police raided a house in the area and a search showed one of the rooms was used as a drug processing lab by the syndicate led by the suspect. ""Police seized 377g of heroin base valued at RM32,500, 1,474g of heroin worth RM11,792, 4,099g of methamphetamine worth RM132,000 and 3,474g of caffeine worth RM1,200, as well as various utensils used to process methamphetamine and heroin,"" he said in a statement today. Hamzah said police subsequently apprehended three men aged 60 to 62 in separate raids in Air Itam and Bandar Baru, all believed to be members of the syndicate. Police also seized two plastic packets of heroin weighing 10.1g valued at RM88. ""Further investigations revealed that the drug syndicate has been active since early March,"" he said. Police also confiscated a Chevrolet car and a Honda Dash motorcycle. He said three of the suspects tested positive for drugs and had records related to crime and drugs. ""All of them have been remanded for seven days until July 19 to assist in investigations under Section 39B of the Dangerous Drugs Act 1952,"" he said."
Murder victim found at bus stop a Thai national with PR status,Sharifah Mahsinah Abdullah,"July 14, 2024 @ 7:31pm","KOTA BARU: Police have confirmed the homeless man who died after being stabbed with a sharp object yesterday was a Thai national with permanent resident (PR) status. Sources said police also have identified the suspect and are locating his family. Kota Baru police chief assistant commissioner Mohd Rosdi Daud when contacted, said the man's family had yet to claim the victim's remains. ""The body was still at the Hospital Raja Perempuan Zainab II hospital's forensic unit,"" he said. He said police are still investigating the motive behind the killing. The case is being investigated under Section 302 of Penal Code for murder. It was reported that a man who is often seen sleeping at a bus stop near Jalan Wakaf Siku has died after being stabbed with a sharp object in the back. The public were alerted to the incident around 10am after hearing cries for help. The victim, who was found at the bus stop, was taken to the hospital but succumbed to his injuries while being treated."
Indonesian woman saved from trafficking in Ampang raid,Mohamad Al As,"July 14, 2024 @ 4:06pm","AMPANG: Police saved an Indonesian woman, 41, from being trafficked on Friday. District police chief Assistant Commissioner Mohd Azam Ismail said the victim was rescued during a raid on a house in Taman Tropika Kemensah at midnight A Malaysian female, 45, was arrested during the raid. The suspect was taken to the Ampang magistrate's court and was remanded in custody from Friday to Tuesday. The victim has been placed in a shelter. Last month, Malaysia was upgraded to Tier 2 in the Trafficking in Persons report released by the United States's State Department, the highest the country has ever reached since 2017."
Syndicate members lead lavish lives trafficking wild birds,Mohd Jamilul Anbia Md Denin,"July 14, 2024 @ 3:54pm","KUALA LUMPUR: Some people lead lavish lives and own assets worth hundreds of thousands of ringgit by selling protected wild birds. The Department of Wildlife and National Parks (Perhilitan) Peninsular Malaysia discovered this when it detained syndicate members and bird enthusiasts selling wild birds on social media. Some suspects owned a Toyota Vellfire MPV, luxury homes and monthly incomes reaching tens of thousands of ringgit. Perhilitan director-general Datuk Abdul Kadir Abu Hashim said some suspects were only clerks or were unemployed but had luxurious lives. He said these people bought birds from middlemen or those who caught serindit, murai batu, bayan puling and other species before advertising them on social media. ""Some birds were bought for between RM500 and RM1,000 each. They were then sold to enthusiasts for up to RM5,000 each. ""Though this may seem like a waste of money, only bird enthusiasts understand this hobby. They are willing to spend a lot of money to own birds with the best chirps."" He said Perhilitan conducted many initiatives to curb the illegal hunting of wild birds. ""We've achieved many successes with Op Khazanah to combat wildlife crimes and forest encroachment. We did this with the help of the police and Customs Department."" He said Perhilitan also worked the Peninsular Malaysia Forestry Department, Perak State Parks Corporation and Johor State Parks Corporation to curb these activities. ""Wildlife crime is ranked fourth among global crimes. ""Interpol estimates that wildlife smuggling generates an income of US$20 billion annually."" Kadir said high demand among bird enthusiasts domestically and internationally caused the prices of certain bird species to rise. ""Among the protected wild birds popular with syndicates are murai batu, serindit, kelicap kunyit, burung daun, burung sanwu, hua mei, cockatoos and barau-barau. ""Perhilitan has seized birds worth more than RM3 million since 2019."""
56 foreigners detained in KL massage parlour raids,Austin Camoens,"July 14, 2024 @ 2:52pm","KUALA LUMPUR: Five massage parlours were raided by the Immigration Department in Bukit Bintang here. The raid, which was conducted about 9.30pm on Wednesday, saw a team from the Immigration Department headquarters detain 56 foreigners for various offences. Department director general Datuk Ruslin Jusoh said 91 individuals were inspected, comprising 20 foreign men, 41 foreign women and 30 Malaysians. ""A total of 56 individuals were detained, comprising Bangladesh, Myanmar, Thailand and Sudan nationals. ""Those detained are aged between 20 and 50,"" he said in a statement today. He said the department also arrested two Malaysians believed to be premise caretakers.   ""The operations were carried out after public complaints about foreigners being involved in vice activities at massage parlours. ""Among the offences we have identified include not having valid identification documents and overstaying,"" he said, adding that those detained will be brought to the Bukit Jalil Immigration Detention Depot for further action. Ruslin said his department would continue to take stern action against anyone committing offences under the Immigration Act, Passport Act, and Anti-Trafficking in Persons and Anti-Smuggling of Migrants Act."
"Panic, prayers as shooter starts firing at Trump rally",Afp,"July 14, 2024 @ 2:07pm","BUTLER: A string of pops sent a crowd of thousands of Donald Trump supporters diving for cover as the Secret Service rushed to protect the man they had waited hours in the sun to see. A lectern emblazoned with the former president's name was knocked sideways, and the crowd gasped as agents lifted the 78-year-old Republican back to his feet after storming the stage. Applause and cheering spread through the rural Pennsylvania fairground as Trump, clearly dazed, pumped his fist and waved through the linked arms of his security detail at the stunned crowd. Officers gestured to his waiting motorcade, while an agent wearing a ballistic helmet and clutching a rifle scoured the crowd at Trump's feet. The crowd chanted ""USA, USA,"" as an unsteady Trump was led down the handful of steps from the stage to his waiting armoured SUV. ""They won't take you down,"" shouted a man in the crowd as Trump's guardsmen formed a human chain to deliver him to safety, his fist still raised even as he was eased into the vehicle. Erin Autenreith said she was ""sitting in the first row in the middle. I was right in front of Trump."" ""I was so excited. I just looked at him. Then I heard these pops. It sounded like a July 4 thing, pop, pop, pop,"" said the 66-year-old from Glenshaw, Pennsylvania. ""But when they all jumped on the stage, they surrounded him and put him down. That's when we realized it must have been really a shot. ""Then more people came and they cleared the area,"" added Autenreith, who was attending her sixth Trump rally and had been volunteering at the gathering all day. ""Then they were talking to each other. 'Left clear. Right clear.' Then they got him up. And he said, ""I gotta get my shoes on.'"" She said those words – which were caught by Trump's microphone and audible in footage of the incident – were the first he spoke. ""And I saw on his cheek, on the right side, because he came up straight, I saw a little bit of blood,"" Autenreith said. ""He turned and I could see it from the ear. And then he put his arm up with a fist pump,"" she added. Trump said in a Truth Social post later that he was ""shot with a bullet that pierced the upper part of my right ear."" As the enormity of what had happened sunk in, tempers rose in the crowd. Some Trump supporters hurled abuse at the media, conspicuous in the middle of the fairground. ""This is what you wanted, isn't it,"" said one man who declined to give his name. Dozens of people made vulgar gestures towards the corner of the fairground from where the gunshots appeared to have come from. The shooter was ""outside the grounds,"" Butler County district attorney Richard Goldinger said. ""Let's go people. Let's go,"" screamed one Secret Service officer as officials sought to evacuate the thousands of rally-goers. ""This is an active crime scene,"" said another, as a police helicopter flew overhead and a large police truck marked ""Explosives"" maneuvered through the mass of people. Others berated organizers for the apparent lapse in security. ""Nice way to organize a perimeter,"" shouted one woman as she left. Another woman who had seen the chaos unfold on the stage was sobbing uncontrollably, asking about Trump's wellbeing. A group knelt and prayed near the back of the field. ""When they got him up, I got the impression they wanted to hustle him off the stage and he wanted to stay there and raise his fist to the world,"" said sales worker Blake Marnell, 59, who had been in the front row. Marnell, who attends Trump rallies in a signature brick wall suit in reference to the Republican's border policies, said: ""I never thought I would see this happen."" When he turned back to the podium, he said, Trump was ""covered"" by the Secret Service. ""I could not see him ... but I could tell they were over him. ""I did see blood above his right ear. It's unclear – I can't say where that came from."" ""It's an incredibly sad day,"" added a visibly emotional Marnell, who is from San Diego, California. ""Just say a word for him to whoever you think is appropriate."" — AFP"
"Remand extended for influencer couple, two others in MACC probe",Austin Camoens,"July 14, 2024 @ 2:05pm","KUALA LUMPUR: The Malaysian Anti-Corruption Commission (MACC) has obtained a remand extension on four people, including a married couple who are social media influencers, suspected of being involved in the misappropriation of public donations. The three-day remand extension order was granted by magistrate Siti Zahirah Zaidon at the Putrajaya magistrate's court on Sunday after the earlier remand order expired today. On July 10, MACC arrested the four for their alleged involvement in the misappropriation of public donations. Sources revealed that the suspects, three men and a woman in their 20s and 30s, were arrested between 6.30pm and 11pm when they came to the MACC headquarters for questioning. Two of the suspects, a married couple, are believed to have been involved since 2020 in embezzling donations. ""It is estimated that the donations totalled about RM3 million. The investigation is still in its early stages. ""Two more suspects were also arrested in connection with the same case,"" the source said. Meanwhile, MACC Investigation Division senior director, Datuk Seri Hishamuddin Hashim, when contacted, confirmed the extension of the remand period, and said the case was being investigated under Section 23 of the MACC Act 2009."
Parents remanded over abuse of two children,Rosli Ilham,"July 14, 2024 @ 2:01pm","CHUKAI: The magistrate's court here today granted a six-day remand order against a man and his wife over the abuse of their two children. The 30-year-old man and 26-year-old woman were arrested by the police at 8pm at a village here yesterday. A person lodged a police report yesterday, alleging that he saw one of the children being kicked and punched by the man and woman about 5pm. Kemaman police chief Superintendent Hanyan Ramlan said police rushed to the scene after receiving the report. They found new and old injuries on the bodies of the 6-year-old girl and her 7-year-old brother. Both were taken to Kemaman Hospital. They will be handed over to the Social Welfare Department, said the police. The female suspect is a housewife. The man, who is the children's stepfather, is a labourer. The remand order was granted to the police by magistrate Sharifah Amirda Shahsa Amir Sharifuddin."
Domestic trade ministry foils attempt to smuggle 476kg of cooking oil to Thailand,Sharifah Mahsinah Abdullah,"July 14, 2024 @ 1:16pm","TUMPAT: The Kelantan Domestic Trade and Cost of Living Ministry foiled an attempt to smuggle cooking oil in packets to Thailand with the seizure of 476kg yesterday. However, no one was arrested in the operation in Bunuhan here. State director Azman Ismail said a car used to transport the cooking oil was also seized in the operation. ""An enforcement team went to Jalan Pohon Pulai near Bunohan about 7.40am after receiving information about smuggling activities being held there. ""Upon arrival, the team saw a car parked at the roadside. ""The car driver managed to escape into the nearby bushes after seeing the officers approaching the area. ""Upon checking, the officers found several boxes containing 476kg of the cooking oil,"" he said in a statement. Azman said initial investigations showed that the cooking oil worth about RM1,100, was intended for smuggling into Thailand via the many illegal jetties along the border. He said the case is being investigated under Supply Control Act 1961."
Remand extended on lorry driver linked to cyberbullying case,Austin Camoens,"July 14, 2024 @ 1:02pm","KUALA LUMPUR: A two-day remand extension has been obtained on the lorry driver arrested over cyberbullying which allegedly led to the death of an influencer recently. Sentul police chief Assistant Commissioner Ahmad Sukarno Mohd Zahari said the suspect will be remanded until July 16 to facilitate further investigations. ""To date we have recorded statements from 11 witnesses in connection with the case. ""The investigation paper will be referred to the deputy public prosecutors office for further instruction tomorrow,"" he said when contacted today. It was reported that the 44-year-old suspect was being investigated under Section 505(b) of the Penal Code and Section 233 of the Communication and Multimedia Act for making statements with the intent to cause fear or alarm to the public and induce any person to commit an offence against the state or public tranquillity, as well as misuse of network facilities, respectively. The suspect, known as ""Dulal Brothers"" on the Internet, was detained in Setapak at 6.30pm on Wednesday. On that same day, police also obtained a remand extension for a female suspect allegedly linked to the suicide of 30-year-old Rajeswary, better known as Esha. Those with information on the case can contact the police hotline at 03-2115 9999."
"Man often seen sleeping at bus stop found stabbed, dies in hospital",Siti Rohana Idris,"July 14, 2024 @ 10:51am","KOTA BARU: A man in his 30s who is often seen sleeping at a bus stop near Jalan Wakaf Siku has died after being stabbed with a sharp object in the back. Members of the public were alerted to the incident around 10pm after hearing cries for help. The victim, who was found at the bus stop, was taken to Hospital Raja Perempuan Zainab II but succumbed to his injuries while being treated. A shopkeeper who only wanted to be known as Heri, said he saw the man lying at the bus stop some 50 metres down the road from his premises. Heri said he thought the man was sleeping. ""Before this, I often saw him sleeping there, so it did not cross my mind that something bad happened."" Heri said the police later came to the shop to ask for closed-circuit television (CCTV) recordings. District police chief, Assistant Commissioner Mohd Rosdi Daud said the police are investigating."
