url,headline,date of published,article_content
https://selangorjournal.my/2024/07/five-charged-with-causing-friends-death-in-hotel-swimming-pool/,Five charged with causing friend’s death in hotel swimming pool,2024-07-19T20:15:23+08:00,"PORT DICKSON, July 19 — Five people were charged in the Magistrate’s Court today with causing the death of their friend in a swimming pool last week. The accused — D Maharaj, 36; B Shanmugaservai, 34; Faezatun Firus Arifin, 42; R Praveena, 31; and S Suvipra, 34 — pleaded not guilty when the charge was read before Magistrate Uthman Abd Ghani. They were jointly accused of causing the death of S. Prawinthan, 38, in the hotel swimming pool in Port Dickson at 2am on July 13. The charge, under Section 304A of the Penal Code, read together with Section 34 of the same act, carries a maximum jail term of two years or a fine, or both upon conviction. Deputy Public Prosecutor Nadia Ezzati Mohd Zainal offered bail of RM8,000 for each accused and asked the court to impose an additional condition that they do not disturb prosecution witnesses until the case is resolved. The court allowed all the accused bail of RM4,000 each with one surety. Maharaj, Shanmugaservai, Faezatun, and Suvipra were represented by lawyer Wan Shahir Azmir Wan Mohd Razi, while Shamsul Sulaiman appeared for Praveena. In the same court, the five accused pleaded not guilty to a second charge of inserting drugs into their bodies. The offence was allegedly committed at the Port Dickson police headquarters between 12.20am and 1am on July 14. The court allowed them bail of RM2,000 each and fixed September 3 for mention of both cases. — Bernama "
https://selangorjournal.my/2024/07/businessman-acquitted-of-cheating-charges-involving-irb-tax-arrears/,Businessman acquitted of cheating charges involving IRB tax arrears,2024-07-19T17:30:19+08:00,"KUALA LUMPUR, July 19 — The Sessions Court has acquitted and discharged a businessman from three charges of allegedly deceiving his acquaintance over the payment of overdue tax arrears with the Inland Revenue Board (IRB) between 2021 and 2022. Judge Datuk Anita Harun found that the defence had successfully raised a reasonable doubt on the case against Datuk Seri Azraie Jamaludin, 47. “Therefore, the accused is acquitted and discharged from all three charges,” she said. Azraie was accused of deceiving Ahmad Rahimi Ahmad Fauzan by tricking him into settling overdue tax arrears with the IRB through a transfer of RM1.25 million into his (Azraie) bank account. The alleged offences occurred at Jalan Bukit Kiara 1, Bukit Kiara, between September 30, 2021, and January 6, 2022, The accused was charged under Section 420 of the Penal Code, which provides for imprisonment of between one and ten years, caning, and may include a fine, upon conviction. Four prosecution witnesses and one defence witness, namely the accused, testified during the trial, which began on January 19. Deputy public prosecutor Akmalzatul Mohamed Nawi handled the prosecution, while the accused was represented by lawyer D. Yasinthra. — Bernama "
https://selangorjournal.my/2024/07/ex-babysitter-gets-fine-community-service-for-endangering-child-causing-death/,"Ex-babysitter gets fine, community service for endangering child, causing death",2024-07-18T21:18:38+08:00,"KUALA LUMPUR, July 18 — A former babysitter was fined RM5,000 by the Sessions Court and ordered to perform 36 hours of community service within six months for endangering a two-year-old girl in a situation that could have led to her death three years ago. Judge Azrol Abdullah meted the sentence on Low Yu Ning, 38, after she pleaded guilty to exposing the child in a manner likely to lead to her death at a house on Jalan Danau Kota, Off Jalan Genting Kelang, at 1pm on December 6, 2021. She was charged under Section 31(1)(a) of the Child Act 2001, which carries a maximum penalty of a RM50,000 fine or up to 20 years in prison, or both. The court also ordered Low to be placed on a one-year good behaviour bond with a surety of RM2,000. According to the case facts, a Malaysian Emergency Response Services 999 (MERS 999) operator received a report of the girl’s death and subsequently filed a police report. Police arrested the accused at the house in Danau Kota and discovered that she had left the child unsupervised in a car seat in a room. Considering that the accused was the person responsible for the child, the act of placing her in a car seat without supervision created a situation that could have resulted in the child’s death. Today’s proceedings were conducted by deputy public prosecutor Muhammad Muhairi Mohamed Noh. Meanwhile, Low’s lawyer S. Kirthen, confirmed after the proceedings that they had submitted a representation to the Attorney General’s Chambers (AGC) to drop the charges against his client. “Initially, my client was charged with abuse, but the AGC amended the charge as there were no signs of beating recorded in the medical report,” he said. — Bernama "
https://selangorjournal.my/2024/07/ex-marii-ceo-gets-one-year-jail-fine-for-deceiving-board-of-directors/,"Ex-MARii CEO gets one year jail, fine for deceiving board of directors",2024-07-18T21:12:41+08:00,"KUALA LUMPUR, July 18 — The former chief executive officer (CEO) of an automotive institute was sentenced to one year in prison and fined RM100,000 by two Sessions Courts today for fraudulently securing an RM6.4 million automotive training contract and receiving RM5 million in cash between 2019 and 2021. The courts ordered both prison sentences against the Malaysian Automotive, Robotics, and IoT Institute (MARii) former CEO Datuk Mohamad Madani Sahari to run concurrently from today. In the first instance, Judge Rozina Ayob sentenced Madani, 57, to one year in prison and fined him RM100,000 after he pleaded guilty to an alternative charge of deceiving MARii’s board of directors (BOD) into believing that LPS Learning Platform’s contract price was RM6.4 million when it was actually RM2.3 million. His actions led the board to award the company an RM6.4 million contract, appointing it as a training provider for the Central, East Coast, Southern, Sabah, and Sarawak regions. Rozina also ordered the accused to serve an additional three-month prison term if the accused failed to settle the fine. The offences were committed at a hotel along Jalan Stesen Sentral Dua on December 14, 2019. Madani was charged under Section 420 of the Penal Code, which carries between one and ten years of imprisonment, with a fine and caning upon conviction. Then, Judge Suzana Hussin sentenced him to one year in prison and ordered the confiscation of his assets worth RM3.4 million after he pleaded guilty to another alternative charge of receiving RM5 million in cash for himself from a 49-year-old man at a bank in Section 15, Shah Alam, on July 8, 2021. The accused was charged under Section 165 of the Penal Code, which provides for a maximum imprisonment of two years or a fine, or both upon conviction. However, the 41 initial main charges under Section 403 and Section 420 of the Penal Code, Section 16(a)(A) of the Malaysian Anti-Corruption Commission Act, and Section 4 of the Anti-Money Laundering, Anti-Terrorism Financing, and Proceeds of Unlawful Activities Act 2001 (AMLATFPUAA) against Madani were taken into consideration under Section 171A of the Criminal Procedure Code. Deputy public prosecutors Law Chin How, Mohd Asraf Mohd Tahir, Haresh Prakash Somiah, Nurul Atiqah Mohd Alias, and Noor Syafina Mohd Radzuan handled the prosecution, while the accused was represented by lawyers Azizul Shariman and Ariff Azami Hussein. — Bernama "
https://selangorjournal.my/2024/07/nur-farah-kartinis-remains-laid-to-rest-in-pekan/,Nur Farah Kartini’s remains laid to rest in Pekan,2024-07-18T19:58:15+08:00,"PEKAN, July 18 — The body of the late Nur Farah Kartini Abdullah was buried at 5.20pm in the Kampung Nyiur Manis Muslim cemetery today. The van carrying the former Universiti Pendidikan Sultan Idris student arrived at the cemetery at 4.55pm after being brought from the Sungai Buloh Hospital’s Forensic Department in Selangor. The funeral for the 25-year-old murder victim was attended by her family members, friends, and villagers. Pahang state investment, industry, science, technology and innovation committee chairman Datuk Mohamad Nizar Najib, representing the state government, was also present at the ceremony. Farah’s remains were found in an oil palm plantation in Kampung Sri Kledang, Hulu Selangor, at 6pm on Monday (July 15). She had been reported missing since last Wednesday (July 10), after delivering a rental car to a customer. Following that, a 26-year-old police officer from Perak was arrested and remanded until July 22 to assist in the investigation related to the case under Section 302 of the Penal Code. — Bernama   "
https://selangorjournal.my/2024/07/police-seize-rm9-mln-in-drugs-after-cocaine-lab-raid/,Police seize RM9 mln in drugs after cocaine lab raid,2024-07-18T19:45:02+08:00,"KUALA LUMPUR, July 18 — Police uncovered a cocaine processing laboratory and arrested three individuals, including a man and his wife, in two raids in Cheras on Tuesday (July 16). Police also seized 44.93kg of cocaine worth an estimated RM9 million in the raids conducted by the Bukit Aman Narcotics Crime Investigation Department (NCID) in collaboration with the United States’ Drug Enforcement Administration. Bukit Aman NCID director Datuk Khaw Kok Chin said that in the 10pm operation, the man and his wife, both aged 41, were arrested at a condominium unit along Jalan Cheras, Batu 5. “Upon searching the unit, police found 44.93kg of cocaine and 52.5 litres of chemicals kept in bottles. “Preliminary investigations found that the man acted as a runner while his wife managed the supply and processed the drugs,” he said during a press conference at the Kuala Lumpur police headquarters today. Preliminary investigations also found the couple had rented the unit, which is believed to have been used as a store and cocaine processing laboratory, since February for RM2,350 a month. Following their arrest, Khaw said police then detained a 38-year-old man, also acting as a runner for the syndicate, at an apartment in Taman Kasturi, Cheras, and seized 1kg of chemical powder from the unit. He added that preliminary investigations found the syndicate, which has been active since early this year, had used the premises as a place to process and store cocaine before being distributed to overseas markets via air transport. One of the suspects tested positive for ketamine and had eight prior records involving criminal and drug offences. “The man and his wife have been remanded for seven days until Tuesday (July 23), while the other man has been remanded for four days until Saturday (July 20),” Khaw said. The case is being investigated under Section 39B of the Dangerous Drugs Act 1952. — Bernama "
https://selangorjournal.my/2024/07/moroccan-pleads-guilty-to-assaulting-therapist-at-spa/,Moroccan pleads guilty to assaulting therapist at spa,2024-07-18T17:09:18+08:00,"KUALA TERENGGANU, July 18 — The Magistrate’s Court has fixed August 6 for the sentencing of a Moroccan man who pleaded guilty to a charge of assaulting a woman with intent to outrage her modesty. Nourou Yassine, 23, made the plea after the charge was read out to him in English by a court interpreter before Magistrate Nik Mohd Tarmizie Nik Mohd Shukri, who then set bail at RM8,000 with two local sureties. The magistrate also ordered him to surrender his passport to the court and report himself at the nearest police station pending the disposal of the case. Yassine was charged with using criminal force on the 19-year-old woman, who is a therapist, to outrage her modesty at a spa on Perhentian Island at 9.15pm on Sunday (July 14). He was charged under Section 354 of the Penal Code which provides imprisonment for up to 10 years, or a fine, or whipping or any two of the punishments upon conviction. Deputy Public Prosecutor Rabiatul Addawiah Mohd Norlee appeared for the prosecution, while lawyer Muhammad Izzat Norizam represented Yassine. — Bernama "
https://selangorjournal.my/2024/07/suspect-in-poisoned-snacks-case-released-on-police-bail/,Suspect in poisoned snacks case released on police bail,2024-07-18T10:44:23+08:00,"KULIM, July 18 — A 33-year-old man, remanded in an investigation into the deaths of two young children after they ate poisoned snacks, has been released on police bail. Kulim police chief Mohd Azizul Mohd Khairi said the suspect, a farmer, had been remanded since July 11 until yesterday. “The remand period will not be extended, and the suspect is released on police bail pending the decision of the deputy public prosecutor (DPP). “The investigation papers have been submitted to the DPP,” he said in a statement today. The media previously reported that three-year-old Muhammad Akil Syauqi Nur Sufyan and his two-year-old brother Muhammad Luth Syauqi had died after eating crackers laced with rat poison. In the July 7 incident in Kampung Padang Ubi near here, the two boys were believed to have eaten a packet of crackers placed on a fence erected by the farmer to trap monkeys. Akil Syauqi reportedly died at Penang General Hospital on July 10, while Luth Syauqi died two days later at the same hospital. The brothers were laid to rest at the Muslim cemetery in Kampung Banggol Berangan, Baling. The case is being investigated under Section 31(1)(a) of the Child Act 2001 and Section 284 of the Penal Code. — Bernama "
https://selangorjournal.my/2024/07/murder-ex-security-guard-ex-policeman-escape-gallows-after-federal-court-review/,"Murder: Ex-security guard, ex-policeman escape gallows after Federal Court review",2024-07-17T23:11:48+08:00,"JOHOR BAHRU, July 17 — A former security guard escaped the death penalty after the Federal Court replaced it with a 40-year prison sentence for murdering his friend’s teenage daughter 13 years ago. A three-judge panel, led by Chief Justice Tun Tengku Maimun Tuan Mat, handed down the prison sentence to D. Kalaiselvan, 59, after allowing his application to review the death sentence. Judge Tengku Maimun, along with Federal Court Judge Datuk Nordin Hassan and Court of Appeal Judge Datuk Hanipah Farikullah, ordered the prison sentence to start on July 3, 2011, the date of arrest. Kalaiselvan was found guilty of murdering Nur Rahayu Qomarudin, 16, at the Sungai Masai oil palm plantation between 2.30am and 2.50am on June 18, 2011. Earlier, Deputy Public Prosecutor Tetralina Ahmed Fauzi requested the court to uphold the death penalty as the victim, who was still a child at the time, was brutally murdered, having been beaten, stabbed in the neck, and burned. However, lawyer Datin Kharen Jit Kaur, representing Kalaiselvan, requested that the review application be allowed. Kalaiselvan was sentenced to death by the Johor Bahru High Court on December 26, 2012, and his appeal was rejected by the Court of Appeal on March 18, 2014. The Federal Court sitting in Putrajaya on August 25, 2015, also upheld his death sentence. Meanwhile, the same court also set aside the death penalty against Habin Noor Sulaiman, 56, who was found guilty of murdering his girlfriend Nur Ain Ashikin Jemedi, 17, in 2010 by stabbing her 19 times and pouring formic acid on her head. She died in the hospital 21 days later. The court replaced the death penalty with a 38-year prison sentence starting from the date of arrest on December 16, 2010. Tetralina requested the court to maintain the death sentence as the victim was pregnant at the time of the incident, which meant Habin Noor took two lives. Lawyer Muhammad Abd Kadir said his client had admitted to the act and surrendered himself to the Ulu Tiram police station after the victim’s family reported the incident. On January 3, 2011, Habin was sentenced to 17 years in prison by the Kota Tinggi Sessions Court after pleading guilty to attempted murder by using a knife, in addition to another 17-year prison sentence for splashing formic acid, seriously injuring the victim. Both offences were committed in Jalan Cemara 2, Kampung Baru Sungai Redan, Kota Tinggi, at 9.15am on December 16, 2010. In 2014, the Court of Appeal amended the charge against Habin Noor to Section 302 of the Penal Code for murder, resulting in the death penalty, which was upheld by the Federal Court on March 22, 2016. Meanwhile, former police corporal Muhammad Faizal Salim, 47, also escaped the death penalty and was sentenced to 40 years in prison with 12 lashes for murdering his pregnant girlfriend Norzielawati Akmar Afandi, 35. The court ordered Faizal to serve his sentence starting from the date of arrest on April 13, 2015. He was charged with murdering the woman at Hutan Bandar Bukit Cantik, Mersing, between 11pm on April 12, 2015, and 12.30am on April 13, 2015. Tetralina requested that the death penalty be upheld as the autopsy report revealed that the cause of Norzielawati’s death was a severe blow with a blunt object to the head, and the deceased also had 47 other injuries on her body, such as bruises, cuts and abrasions. “The baby in her womb was also six months old, so the applicant had killed two lives, and witnesses also heard the victim pleading not to be beaten, but the applicant ignored her,” she said. Faizal’s lawyer Iskandar Shah Ibrahim said his client had intended to take the victim for medical treatment. On May 21, 2018, the Court of Appeal upheld Faizal’s conviction and death sentence, and the Federal Court also maintained this decision. — Bernama "
https://selangorjournal.my/2024/07/federal-court-upholds-death-sentence-for-mans-murder-of-stepson/,Federal Court upholds death sentence for man’s murder of stepson,2024-07-16T21:09:28+08:00,"JOHOR BAHRU, July 16 — The Federal Court has upheld the death sentence imposed on a man who murdered his six-year-old stepson 13 years ago. A three-judge panel, led by Chief Justice Tun Tengku Maimun Tuan Mat, made the unanimous decision to reject the application by Azman Abd Rahman, 49, for a review to have his death sentence commuted to life imprisonment in accordance with the Sentence of Death and Imprisonment for Natural Life (Temporary Jurisdiction of the Federal Court) Act 2023. She accepted the prosecution’s objection to Azman’s review application to set aside the death sentence against him. “The application from the accused (Azman) is hereby rejected, and the existing sentence is upheld,” said Tengku Maimun, who sat with Federal Court judges Datuk Nordin Hassan and Datuk Hanipah Farikullah. Earlier, the Attorney General’s Chambers’ Trials and Appeals Division head Datuk Mohd Dusuki Mokhtar objected to Azman’s review application, and requested the court uphold the death sentence. The accused is represented by lawyer S. Vijay Ratnam, “The autopsy discovered more than 72 injuries on the victim’s body, particularly in the muscles, lungs, head, and abdomen, resulting from strong blows with a blunt object. “According to the witness, an employee of the accused, he attempted to stop Azman from beating the six-year-old victim, but was scolded and told to stay out his family affairs,” said Dusuki. Meanwhile, Vijay Ratnam requested the court to set aside the death sentence and allow a review, arguing that his client deeply regrets his actions and is now suffering from several diseases, including antisocial personality disorder, hypertension, and chronic Hepatitis C. On June 5, 2015, the High Court in Melaka sentenced Azman to death after finding him guilty of murdering Muhammad Firdaus Mohd Dan, aged six, at an oil palm plantation in Kampung Solok Pinang Gadek, Alor Gajah, Melaka, between 10.30am and 2.15pm on October 10, 2011. His appeal was rejected by the Putrajaya Court of Appeal on September 7, 2016, and the Federal Court subsequently upheld the conviction and sentence on October 5, 2017. According to the case facts, on the day of the incident, as they were heading to the applicant’s workplace, the victim told the accused that he needed to urinate or defecate, only to be slapped hard on the cheek. Upon arriving at the location, Azman scolded the victim, kicked the child in the ribs and beat him repeatedly with a tree branch until the child collapsed. He then took the child to the Alor Gajah Hospital, where Firdaus was pronounced dead. — Bernama "
