Title,Summary,Link,Author,Published Date,Published Time
CSI for wildlife – Malaysia’s forensic laboratory in the spotlight,"Malaysia hosted the seventh Society for Wildlife Forensic Science Conference and Meeting 2024 from June 24 to 26, 2024. It's the first time such a an event is being held in Asia.",https://www.thestar.com.my/news/environment/2024/07/15/csi-for-wildlife---malaysias-forensic-laboratory-in-the-spotlight,N/A,15 July 2024,07:00 AM
"20,000 CCTV cameras needed to monitor crime and traffic in KL, says Zahid","KUALA LUMPUR: Kuala Lumpur City Hall (DBKL) requires at least 20,000 CCTV cameras installed throughout the capital to monitor crime and traffic congestion.",https://www.thestar.com.my/news/nation/2024/07/15/20000-cctv-cameras-needed-to-monitor-crime-and-traffic-in-kl-says-zahid,N/A,15 July 2024,05:10 PM
"Spike in commercial crime with losses amounting to RM1.2bil this year, says CCID director","KUALA LUMPUR: The amount of losses from commercial crime cases, including online scams, has reached RM1.2bil this year, says Comm Datuk Seri Ramli Mohamed Yoosuf.",https://www.thestar.com.my/news/nation/2024/07/13/spike-in-commercial-crime-with-losses-amounting-to-rm12bil-this-year-says-ccid-director,Farik Zolkepli,13 July 2024,11:11 AM
Set-jetting holiday: 4 film locations in Malaysia to check out,More international and local productions should be filmed in Malaysia.,https://www.thestar.com.my/lifestyle/travel/2024/07/12/set-jetting-holiday-4-film-locations-in-malaysia-to-check-out,Gisele Soo,12 July 2024,11:00 AM
Libraries as a crime fighter,JOHOR BARU: Libraries and museums should be used as community spaces that can help bring down the crime rate by giving youths space for healthy activities.,https://www.thestar.com.my/news/nation/2024/07/15/libraries-as-a-crime-fighter,Yee Xiang Yun Xiangyun Thestar.Com.My,15 July 2024,07:00 AM
Commercial crime sees spike,"KUALA LUMPUR: The amount of losses from commercial crime cases, including online scams, has hit RM1.2bil, says Comm Datuk Seri Ramli Mohamed Yoosuf.",https://www.thestar.com.my/news/nation/2024/07/14/commercial-crime-sees-spike,Farik Zolkepli,14 July 2024,07:00 AM
"Malaysia's BRICS entry, anti-corruption efforts among highlights in Parliament today","KUALA LUMPUR: Malaysia’s direction following its intention to join BRICS, and how this move could benefit the country’s economic development, will be discussed in the Dewan Rakyat on Tuesday (July 9).",https://www.thestar.com.my/news/nation/2024/07/09/malaysia039s-brics-entry-anti-corruption-efforts-among-highlights-in-parliament-today,N/A,9 July 2024,09:15 AM
Malaysia and Thailand to boost cooperation to tackle cross-border crime,"Malaysia and Thailand have agreed to enhance cooperation in combating cross-border crime, human trafficking and job scams, said Home Affairs Minister Datuk Seri Saifuddin Nasution Ismail.",https://www.thestar.com.my/aseanplus/aseanplus-news/2024/04/20/malaysia-and-thailand-to-boost-cooperation-to-tackle-cross-border-crime,N/A,20 Apr 2024,03:33 PM
QuickCheck: Is a viral TikTok video on seven states wanting to leave Malaysia true?,A VIDEO has gone viral on social media platform TikTok claiming that seven states want to secede from Malaysia.,https://www.thestar.com.my/news/true-or-not/2024/06/24/quickcheck-is-a-viral-tiktok-video-on-seven-states-wanting-to-leave-malaysia-true,N/A,24 June 2024,07:13 PM
"Malaysia, China agree to solve regional disputes peacefully","PUTRAJAYA: Resolving disputes in the South China Sea through peaceful means, the need for an immediate and permanent ceasefire in Gaza and seizing opportunities under the Belt and Road Initiative are among issues which Malaysia and China have agreed upon.",https://www.thestar.com.my/news/nation/2024/06/21/malaysia-china-agree-to-solve-regional-disputes-peacefully,N/A,21 June 2024,07:00 AM
